layout,envFactor,metric,interference,run,totalEnergyMWs,pingTimeouts,pingNoRoute,pingSent,energy_netScan,energy_connect,energy_pathDiscovery,energy_pathDiscoveryReply,energy_ping,energy_pingReply,energy_ack
around,2,leo,0,5,7.59932,0,0,190,0.252563,0.254755,4.86282,0.0812625,0.674666,0.789623,0.683629
around,2,leo,0,6,7.61159,0,0,190,0.255303,0.258043,4.87159,0.0812575,0.683233,0.783532,0.678639
around,2,leo,0,7,7.55429,0,0,190,0.255851,0.256947,4.8683,0.0795649,0.647903,0.80322,0.642502
around,2,leo,0,8,7.79059,0,0,190,0.253111,0.255303,4.86446,0.0772708,0.750539,0.862487,0.727413
around,2,leo,0,9,7.83554,0,0,190,0.253111,0.255851,4.84583,0.0772383,0.712008,0.937187,0.754314
around,2,leo,0,10,7.81481,0,0,190,0.257495,0.254207,4.87433,0.0785306,0.757035,0.839034,0.754185
around,2,leo,0,11,7.4507,0,0,190,0.250919,0.257495,4.86008,0.0801129,0.622133,0.751976,0.627989
around,2,leo,0,12,7.6978,0,0,190,0.259139,0.251467,4.86337,0.0852789,0.695328,0.837472,0.705753
around,2,leo,0,13,7.61564,0,0,190,0.257495,0.259139,4.86117,0.0881739,0.661381,0.767692,0.720581
around,2,leo,0,14,7.75469,0,0,190,0.258043,0.256947,4.882,0.084185,0.70232,0.863094,0.7081
around,2,leo,0,15,7.73758,0,0,190,0.258591,0.255303,4.84912,0.0824831,0.701991,0.854854,0.735237
around,2,leo,0,16,7.68824,0,0,190,0.252015,0.255851,4.87597,0.0761073,0.677345,0.860746,0.6902
around,2,leo,0,17,7.64403,0,0,190,0.256399,0.252563,4.8672,0.0795649,0.715171,0.80026,0.672867
around,2,leo,0,18,7.81446,0,0,190,0.256947,0.257495,4.85295,0.0772964,0.722811,0.89282,0.754133
around,2,leo,0,19,7.76867,0,0,190,0.253659,0.255851,4.87378,0.0807262,0.726294,0.856628,0.721728
around,2,lqi-literal,0,0,7.54659,0,0,190,0.257495,0.253659,4.86172,0.0841186,0.672413,0.767195,0.64999
around,2,lqi-literal,0,1,7.54414,0,0,190,0.255851,0.255851,4.86282,0.0841186,0.622538,0.796903,0.666055
around,2,lqi-literal,0,2,7.50591,0,0,190,0.256399,0.256947,4.88255,0.0916451,0.597135,0.773819,0.647421
around,2,lqi-literal,0,3,7.68582,0,0,190,0.254207,0.258043,4.8672,0.0813,0.69475,0.816132,0.714181
around,2,lqi-literal,0,4,7.69618,0,0,190,0.259139,0.256399,4.87707,0.0830226,0.704535,0.824895,0.691127
around,2,lqi-literal,0,5,7.59932,0,0,190,0.252563,0.254755,4.86282,0.0812625,0.674666,0.789623,0.683629
around,2,lqi-literal,0,6,7.61159,0,0,190,0.255303,0.258043,4.87159,0.0812575,0.683233,0.783532,0.678639
around,2,lqi-literal,0,7,7.55429,0,0,190,0.255851,0.256947,4.8683,0.0795649,0.647903,0.80322,0.642502
around,2,lqi-literal,0,8,7.79059,0,0,190,0.253111,0.255303,4.86446,0.0772708,0.750539,0.862487,0.727413
around,2,lqi-literal,0,9,7.83554,0,0,190,0.253111,0.255851,4.84583,0.0772383,0.712008,0.937187,0.754314
around,2,lqi-literal,0,10,7.81481,0,0,190,0.257495,0.254207,4.87433,0.0785306,0.757035,0.839034,0.754185
around,2,lqi-literal,0,11,7.4507,0,0,190,0.250919,0.257495,4.86008,0.0801129,0.622133,0.751976,0.627989
around,2,lqi-literal,0,12,7.6978,0,0,190,0.259139,0.251467,4.86337,0.0852789,0.695328,0.837472,0.705753
around,2,lqi-literal,0,13,7.61564,0,0,190,0.257495,0.259139,4.86117,0.0881739,0.661381,0.767692,0.720581
around,2,lqi-literal,0,14,7.75469,0,0,190,0.258043,0.256947,4.882,0.084185,0.70232,0.863094,0.7081
around,2,lqi-literal,0,15,7.73758,0,0,190,0.258591,0.255303,4.84912,0.0824831,0.701991,0.854854,0.735237
around,2,lqi-literal,0,16,7.68824,0,0,190,0.252015,0.255851,4.87597,0.0761073,0.677345,0.860746,0.6902
around,2,lqi-literal,0,17,7.64403,0,0,190,0.256399,0.252563,4.8672,0.0795649,0.715171,0.80026,0.672867
around,2,lqi-literal,0,18,7.81446,0,0,190,0.256947,0.257495,4.85295,0.0772964,0.722811,0.89282,0.754133
